section,metric,target,value,extra
summary,geometry_type,,direct_joint_fixed_u_hat,
summary,eigen_success,,yes,
summary,positive_definite,,yes,
summary,covariance_available,,yes,
summary,min_eigenvalue,,2.81319046787474,
summary,max_eigenvalue,,16211.1468281857,
summary,condition_number_abs,,5762.54861279713,
fixed_effect,value,log_r0,10.1517672880029,index=0
fixed_effect,value,log_m,-0.680648506614464,index=1
fixed_effect,value,log_fbar,-2.82127895142624,index=2
fixed_effect,value,log_q_longline,-10.2997937457568,index=3
fixed_effect,value,log_q_purse_seine,-11.8081547312595,index=4
fixed_effect,value,logit_sel_a50_longline,0.388794396307698,index=5
fixed_effect,value,log_sel_slope_longline,0.997312512932804,index=6
eigenvalue,value,0,2.81319046787474,
eigenvalue,value,1,46.9840746298732,
eigenvalue,value,2,209.464112711143,
eigenvalue,value,3,714.201655911363,
eigenvalue,value,4,1481.35670896697,
eigenvalue,value,5,2189.24704746045,
eigenvalue,value,6,16211.1468281857,
weak_direction,loading,direction_1,-0.491472657160063,parameter=log_r0;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,-0.0138705377484721,parameter=log_m;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,0.501802652524931,parameter=log_fbar;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,0.504345265355043,parameter=log_q_longline;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,0.502070211880759,parameter=log_q_purse_seine;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,0.00179402874247998,parameter=logit_sel_a50_longline;eigenvalue=2.81319046787474
weak_direction,loading,direction_1,-0.00380400872377753,parameter=log_sel_slope_longline;eigenvalue=2.81319046787474
weak_direction,loading,direction_2,-0.484611124912282,parameter=log_r0;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,-0.281632940182291,parameter=log_m;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,-0.0210296681542088,parameter=log_fbar;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,-0.752350970825544,parameter=log_q_longline;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,0.295868499122887,parameter=log_q_purse_seine;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,-0.15177184160701,parameter=logit_sel_a50_longline;eigenvalue=46.9840746298732
weak_direction,loading,direction_2,0.0937435528060597,parameter=log_sel_slope_longline;eigenvalue=46.9840746298732
weak_direction,loading,direction_3,0.0724998054860415,parameter=log_r0;eigenvalue=209.464112711143
weak_direction,loading,direction_3,0.0749297205122958,parameter=log_m;eigenvalue=209.464112711143
weak_direction,loading,direction_3,0.0200418524276381,parameter=log_fbar;eigenvalue=209.464112711143
weak_direction,loading,direction_3,0.0856151175031037,parameter=log_q_longline;eigenvalue=209.464112711143
weak_direction,loading,direction_3,-0.024832912555238,parameter=log_q_purse_seine;eigenvalue=209.464112711143
weak_direction,loading,direction_3,-0.255066340324745,parameter=logit_sel_a50_longline;eigenvalue=209.464112711143
weak_direction,loading,direction_3,0.95693373829226,parameter=log_sel_slope_longline;eigenvalue=209.464112711143
correlation,value,log_r0_vs_log_r0,1,
correlation,value,log_r0_vs_log_m,0.414612150215169,
correlation,value,log_r0_vs_log_fbar,-0.964258061569999,
correlation,value,log_r0_vs_log_q_longline,-0.831101243888291,
correlation,value,log_r0_vs_log_q_purse_seine,-0.983030028076812,
correlation,value,log_r0_vs_logit_sel_a50_longline,0.110292429039676,
correlation,value,log_r0_vs_log_sel_slope_longline,0.000499121753691783,
correlation,value,log_m_vs_log_r0,0.414612150215168,
correlation,value,log_m_vs_log_m,1,
correlation,value,log_m_vs_log_fbar,-0.172094696092483,
correlation,value,log_m_vs_log_q_longline,0.140352070497366,
correlation,value,log_m_vs_log_q_purse_seine,-0.307741654163205,
correlation,value,log_m_vs_logit_sel_a50_longline,0.492109009783473,
correlation,value,log_m_vs_log_sel_slope_longline,-0.0768062369768428,
correlation,value,log_fbar_vs_log_r0,-0.964258061569999,
correlation,value,log_fbar_vs_log_m,-0.172094696092484,
correlation,value,log_fbar_vs_log_fbar,1,
correlation,value,log_fbar_vs_log_q_longline,0.937119083080108,
correlation,value,log_fbar_vs_log_q_purse_seine,0.97563437016006,
correlation,value,log_fbar_vs_logit_sel_a50_longline,0.0340205340626712,
correlation,value,log_fbar_vs_log_sel_slope_longline,-0.0315057774130637,
correlation,value,log_q_longline_vs_log_r0,-0.831101243888291,
correlation,value,log_q_longline_vs_log_m,0.140352070497365,
correlation,value,log_q_longline_vs_log_fbar,0.937119083080109,
correlation,value,log_q_longline_vs_log_q_longline,1,
correlation,value,log_q_longline_vs_log_q_purse_seine,0.875549884770811,
correlation,value,log_q_longline_vs_logit_sel_a50_longline,0.234487615090307,
correlation,value,log_q_longline_vs_log_sel_slope_longline,-0.0824698672951491,
correlation,value,log_q_purse_seine_vs_log_r0,-0.983030028076811,
