section,metric,target,value,extra
optimization,objective_value,,110.643356125724,
optimization,gradient_norm,,1.79624738134853e-05,
optimization,max_gradient_parameter,,log_r0,
optimization,max_gradient_value,,1.22553003087944e-05,
optimization,max_abs_gradient,,1.22553003087944e-05,
optimization,iterations,,25,
optimization,converged,,yes,
optimization,message,,converged to requested fixed-effect gradient tolerance,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,7.78015244012555,
curvature,max_eigenvalue,,50.569014149727,
curvature,condition_number_abs,,6.49974592900276,
spectral_structure,available,,yes,
spectral_structure,largest_eigen_share,,0.219973029501419,
spectral_structure,effective_rank_entropy,,16.3579752217402,
spectral_structure,eigen_count_for_50%,,7,
spectral_structure,eigen_count_for_90%,,18,
spectral_structure,eigen_count_for_95%,,19,
spectral_structure,eigen_count_for_99%,,20,
huu_structure,random_effects,,20,
huu_structure,total_entries,,400,
huu_structure,structural_nonzeros,,362,
huu_structure,structural_density,,0.905,
effective_sparsity,entries_required,90%,186,compression_vs_structural=1.94623655913978
effective_sparsity,entries_required,95%,225,compression_vs_structural=1.60888888888889
effective_sparsity,entries_required,97%,249,compression_vs_structural=1.45381526104418
effective_sparsity,entries_required,98%,265,compression_vs_structural=1.36603773584906
effective_sparsity,entries_required,99%,289,compression_vs_structural=1.25259515570934
effective_sparsity,entries_required,99.5%,307,compression_vs_structural=1.17915309446254
effective_sparsity,entries_required,99.9%,340,compression_vs_structural=1.06470588235294
effective_sparsity,entries_required,100%,362,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,7,entry_count_if_banded=244
effective_bandwidth,bandwidth,95%,8,entry_count_if_banded=268
effective_bandwidth,bandwidth,97%,9,entry_count_if_banded=290
effective_bandwidth,bandwidth,98%,10,entry_count_if_banded=310
effective_bandwidth,bandwidth,99%,12,entry_count_if_banded=344
effective_bandwidth,bandwidth,99.5%,13,entry_count_if_banded=358
effective_bandwidth,bandwidth,99.9%,15,entry_count_if_banded=380
effective_bandwidth,bandwidth,100%,19,entry_count_if_banded=400
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.0973003881562839,index=0
uncertainty,max_variance,,0.122499984641817,index=19
uncertainty,max_abs_correlation,,0.219567854553938,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,log_rec_dev_4,12.0993548364857,index=3;sd=0.331343917683279;variance=0.109788791785704;variance_share=0.0514359875922445;correlation_centrality=0.939081778258736;curvature_column_norm=18.8315941238821;importance_share=0.0755522976256745
parameter_influence,importance,log_rec_dev_5,11.8098421055115,index=4;sd=0.329179896636359;variance=0.108359404349524;variance_share=0.0507663203772584;correlation_centrality=0.93215005030768;curvature_column_norm=18.5682055933406;importance_share=0.0737444861917107
parameter_influence,importance,log_rec_dev_3,11.7633039246197,index=2;sd=0.329813871922262;variance=0.108777190112354;variance_share=0.0509620527736498;correlation_centrality=0.904946868178339;curvature_column_norm=18.7230903389769;importance_share=0.0734538866894056
parameter_influence,importance,log_rec_dev_6,11.3587300070655,index=5;sd=0.325073101293183;variance=0.105672521184368;variance_share=0.0495075171160424;correlation_centrality=0.916061606512797;curvature_column_norm=18.2364068804134;importance_share=0.070927595871116
parameter_influence,importance,log_rec_dev_7,10.7685707527537,index=6;sd=0.321418582816584;variance=0.103309905379821;variance_share=0.0484006329320441;correlation_centrality=0.892818115491968;curvature_column_norm=17.7002010822651;importance_share=0.0672424499909522
parameter_influence,importance,log_rec_dev_2,10.6529917378852,index=1;sd=0.323033089347196;variance=0.104350376813194;variance_share=0.0488880932170746;correlation_centrality=0.815226259952018;curvature_column_norm=18.1674433117188;importance_share=0.0665207371187677
parameter_influence,importance,log_rec_dev_8,10.3236016536704,index=7;sd=0.318150727288683;variance=0.101219885274318;variance_share=0.0474214596806975;correlation_centrality=0.882561403974552;curvature_column_norm=17.2365033278994;importance_share=0.0644639185516732
parameter_influence,importance,log_rec_dev_9,9.78345229271105,index=8;sd=0.316420519672218;variance=0.100121945269637;variance_share=0.046907075402127;correlation_centrality=0.870155204544492;curvature_column_norm=16.5329305691868;importance_share=0.0610910506729286
parameter_influence,importance,log_rec_dev_10,9.32238195330155,index=9;sd=0.314971559708225;variance=0.099207083425032;variance_share=0.0464784631392327;correlation_centrality=0.860329668655777;curvature_column_norm=15.9098336733292;importance_share=0.0582119778644849
parameter_influence,importance,log_rec_dev_1,9.02715940084291,index=0;sd=0.311930101394982;variance=0.0973003881562839;variance_share=0.0455851774714484;correlation_centrality=0.678267551596176;curvature_column_norm=17.2437861018019;importance_share=0.0563685124524361
parameter_influence,importance,log_rec_dev_11,8.7252382532413,index=10;sd=0.314783553303929;variance=0.0990886854306477;variance_share=0.0464229937450346;correlation_centrality=0.831826730556634;curvature_column_norm=15.1314612230305;importance_share=0.054483218838739
parameter_influence,importance,log_rec_dev_12,8.11000947175476,index=11;sd=0.315323544094276;variance=0.0994289374601747;variance_share=0.046582401630706;correlation_centrality=0.79440291206823;curvature_column_norm=14.3332605933327;importance_share=0.0506415306962783
parameter_influence,importance,log_rec_dev_13,7.27906879057996,index=12;sd=0.31753492788548;variance=0.100828430427237;variance_share=0.0472380633036185;correlation_centrality=0.723850790619452;curvature_column_norm=13.2979485387714;importance_share=0.0454528674574676
parameter_influence,importance,log_rec_dev_14,6.35011088203105,index=13;sd=0.320881843801965;variance=0.102965157681749;variance_share=0.0482391188281714;correlation_centrality=0.627090350104334;curvature_column_norm=12.1625459746054;importance_share=0.0396521528460763
parameter_influence,importance,log_rec_dev_15,5.3759937780219,index=14;sd=0.325812238652145;variance=0.106153614855522;variance_share=0.0497329092321019;correlation_centrality=0.504493203486887;curvature_column_norm=10.9673356069024;importance_share=0.033569449564871
parameter_influence,importance,log_rec_dev_16,4.50183198760106,index=15;sd=0.331802256883092;variance=0.110092737672714;variance_share=0.0515783860704378;correlation_centrality=0.370910112357834;curvature_column_norm=9.89694067570266;importance_share=0.0281108996954425
parameter_influence,importance,log_rec_dev_17,3.78064988137412,index=16;sd=0.33873277422792;variance=0.114739892336143;variance_share=0.0537555754330274;correlation_centrality=0.236199069132351;curvature_column_norm=9.02860865235802;importance_share=0.0236076046133227
parameter_influence,importance,log_rec_dev_18,3.27768133007691,index=17;sd=0.34491195099668;variance=0.118964253940337;variance_share=0.0557346864836578;correlation_centrality=0.120579226431946;curvature_column_norm=8.48039180198406;importance_share=0.0204669057746234
parameter_influence,importance,log_rec_dev_19,2.97830923520909,index=18;sd=0.348719196949692;variance=0.121605078321238;variance_share=0.056971911230192;correlation_centrality=0.037774956311564;curvature_column_norm=8.22982776304686;importance_share=0.0185975292733186
parameter_influence,importance,log_rec_dev_20,2.85714303624704,index=19;sd=0.349999978059738;variance=0.122499984641817;variance_share=0.0573911743412332;correlation_centrality=0;curvature_column_norm=8.16326632957498;importance_share=0.0178409282107109
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_2,-0.219567854553938,i=0;j=1;abs_correlation=0.219567854553938
parameter_influence,correlation_pair,log_rec_dev_2__log_rec_dev_3,-0.192022265661515,i=1;j=2;abs_correlation=0.192022265661515
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_3,-0.174412959704603,i=0;j=2;abs_correlation=0.174412959704603
parameter_influence,correlation_pair,log_rec_dev_3__log_rec_dev_4,-0.16443517592006,i=2;j=3;abs_correlation=0.16443517592006
parameter_influence,correlation_pair,log_rec_dev_2__log_rec_dev_4,-0.149394556452641,i=1;j=3;abs_correlation=0.149394556452641
parameter_influence,correlation_pair,log_rec_dev_4__log_rec_dev_5,-0.143418604886194,i=3;j=4;abs_correlation=0.143418604886194
parameter_influence,correlation_pair,log_rec_dev_5__log_rec_dev_6,-0.130024049890865,i=4;j=5;abs_correlation=0.130024049890865
parameter_influence,correlation_pair,log_rec_dev_3__log_rec_dev_5,-0.129523549135375,i=2;j=4;abs_correlation=0.129523549135375
parameter_influence,correlation_pair,log_rec_dev_1__log_rec_dev_4,-0.121668624795758,i=0;j=3;abs_correlation=0.121668624795758
parameter_influence,correlation_pair,log_rec_dev_6__log_rec_dev_7,-0.121150876965172,i=5;j=6;abs_correlation=0.121150876965172
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,20,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
correlation_graph,maximum_degree,,0,parameter=log_rec_dev_1
correlation_graph,connected_components,,20,
correlation_graph,largest_component_size,,1,
correlation_graph,graph_diameter,,0,
parameter_geometry,available,,no,
parameter_geometry,dominant_parameter,,,index=0;curvature_column_norm=nan
gradient_volatility,available,,no,
gradient_volatility,perturbation_scale,,0,
gradient_volatility,samples,,0,
gradient_volatility,baseline_gradient_norm,,nan,
gradient_volatility,mean_gradient_norm,,nan,
gradient_volatility,sd_gradient_norm,,nan,
gradient_volatility,max_gradient_norm,,nan,
gradient_volatility,gradient_norm_cv,,nan,
gradient_volatility,most_volatile_parameter,,,sd=nan
gradient_volatility,most_sign_flips_parameter,,,sign_flips=0
latent_states,count,,20,
latent_states,mean,,0.15717116763256,
latent_states,sd,,0.0846839935020005,
latent_states,min_value,,0,index=19
latent_states,max_value,,0.304828987144085,index=2
latent_states,l2_norm,,0.79842538399564,
